Date,Actual_Price,ARIMA_Forecast,SARIMA_Forecast
2018-08-12,2979,2818.228190978301,3043.0745289974666
2018-08-13,2982,2818.1153608966274,3043.312644465401
2018-08-14,2980,2818.0028419517334,3043.550760153086
2018-08-15,2973,2817.8906332856373,3043.7888108335246
2018-08-16,2942,2817.778734042724,3044.0269344562785
2018-08-17,2940,2817.6671433697375,3044.2650720062557
2018-08-18,2935,2817.555860415775,3044.5032002525313
2018-08-19,2935,2817.44488433228,3044.74140137226
2018-08-20,2946,2817.3342142730357,3044.9795857335494
2018-08-21,2958,2817.2238493941586,3045.2177549465287
2018-08-22,2970,2817.113788854094,3045.455965930493
2018-08-23,2964,2817.004031813605,3045.6941160458687
2018-08-24,2980,2816.8945774357708,3045.932417349227
2018-08-25,2989,2816.7854248859785,3046.1706464629797
2018-08-26,2989,2816.6765733319166,3046.409038651331
2018-08-27,3005,2816.568021943568,3046.6473611444408
2018-08-28,3007,2816.459769893205,3046.8856537395513
2018-08-29,3010,2816.351816355382,3047.123972032893
2018-08-30,3023,2816.2441605069307,3047.3623539650407
2018-08-31,3031,2816.136801526952,3047.6006863756734
2018-09-01,3014,2816.0297385968092,3047.839068787419
2018-09-02,3014,2815.922970900126,3048.0774867013342
2018-09-03,3024,2815.8164976227745,3048.3160047233373
2018-09-04,3025,2815.7103179528735,3048.5545250800196
2018-09-05,3034,2815.60443108078,3048.792991566862
2018-09-06,3066,2815.4988361990836,3049.03144977671
2018-09-07,3042,2815.3935325026005,3049.27006067178
2018-09-08,3051,2815.2885191883674,3049.508602494521
2018-09-09,3051,2815.183795455635,3049.7472151815073
2018-09-10,3066,2815.0793605058625,3049.9857904329874
2018-09-11,3072,2814.97521354271,3050.2243236247405
